[ 2017-06-16T15:17:34+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006297s ]
[ 2017-06-16T15:17:34+08:00 ] /User/index.html | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.005064s ]
[ 2017-06-16T15:17:34+08:00 ] /User/index.html | SQL: SELECT * FROM `auth_group`  [ RunTime:0.005167s ]
[ 2017-06-16T15:17:34+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.005899s ]
[ 2017-06-16T15:17:34+08:00 ] /User/index.html | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007475s ]
[ 2017-06-16T15:17:34+08:00 ] /User/index.html | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.005081s ]
[ 2017-06-16T15:17:34+08:00 ] /User/index.html | SQL: SELECT * FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.006713s ]
[ 2017-06-16T15:17:34+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM user u [ RunTime:0.004800s ]
[ 2017-06-16T15:17:34+08:00 ] /User/index.html | SQL: SELECT COUNT(*) AS tp_count FROM user u LEFT JOIN auth_type at on at.id=u.typeid LEFT JOIN auth_group ag on ag.id=u.groupid LEFT JOIN (select username,id as addid from user) as au on au.addid=u.adduser WHERE ( u.groupid = 1 ) LIMIT 1   [ RunTime:0.006007s ]
[ 2017-06-16T15:17:34+08:00 ] /User/index.html | SQL: SELECT u.id,u.username,u.names,u.mobile,u.status,u.timeadd,u.lasttime,at.title,au.username as addusername,case when u.status=0 then '已禁用' when u.status=1 then '使用中' end as statusname FROM user u LEFT JOIN auth_type at on at.id=u.typeid LEFT JOIN auth_group ag on ag.id=u.groupid LEFT JOIN (select username,id as addid from user) as au on au.addid=u.adduser WHERE ( u.groupid = 1 ) ORDER BY u.groupid,u.timeadd LIMIT 0,15   [ RunTime:0.006483s ]

[ 2017-06-16T15:17:39+08:00 ] 127.0.0.1 /User/index.html?username=&groupid=2&__hash__=080f7da51e4ad1d86b7cb81824a452c3_7ba63ac684ac1eef44bbc5ef77e04793
[ 2017-06-16T15:17:39+08:00 ] /User/index.html?username=&groupid=2&__hash__=080f7da51e4ad1d86b7cb81824a452c3_7ba63ac684ac1eef44bbc5ef77e04793 | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.007618s ]
[ 2017-06-16T15:17:39+08:00 ] /User/index.html?username=&groupid=2&__hash__=080f7da51e4ad1d86b7cb81824a452c3_7ba63ac684ac1eef44bbc5ef77e04793 | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.004990s ]
[ 2017-06-16T15:17:39+08:00 ] /User/index.html?username=&groupid=2&__hash__=080f7da51e4ad1d86b7cb81824a452c3_7ba63ac684ac1eef44bbc5ef77e04793 | SQL: SELECT * FROM `auth_group`  [ RunTime:0.005866s ]
[ 2017-06-16T15:17:39+08:00 ] /User/index.html?username=&groupid=2&__hash__=080f7da51e4ad1d86b7cb81824a452c3_7ba63ac684ac1eef44bbc5ef77e04793 | SQL: SHOW COLUMNS FROM `auth_rule` [ RunTime:0.006330s ]
[ 2017-06-16T15:17:39+08:00 ] /User/index.html?username=&groupid=2&__hash__=080f7da51e4ad1d86b7cb81824a452c3_7ba63ac684ac1eef44bbc5ef77e04793 | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.005843s ]
[ 2017-06-16T15:17:39+08:00 ] /User/index.html?username=&groupid=2&__hash__=080f7da51e4ad1d86b7cb81824a452c3_7ba63ac684ac1eef44bbc5ef77e04793 | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.005721s ]
[ 2017-06-16T15:17:39+08:00 ] /User/index.html?username=&groupid=2&__hash__=080f7da51e4ad1d86b7cb81824a452c3_7ba63ac684ac1eef44bbc5ef77e04793 | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.007424s ]
[ 2017-06-16T15:17:39+08:00 ] /User/index.html?username=&groupid=2&__hash__=080f7da51e4ad1d86b7cb81824a452c3_7ba63ac684ac1eef44bbc5ef77e04793 | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.006104s ]
[ 2017-06-16T15:17:39+08:00 ] /User/index.html?username=&groupid=2&__hash__=080f7da51e4ad1d86b7cb81824a452c3_7ba63ac684ac1eef44bbc5ef77e04793 | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.005333s ]
[ 2017-06-16T15:17:39+08:00 ] /User/index.html?username=&groupid=2&__hash__=080f7da51e4ad1d86b7cb81824a452c3_7ba63ac684ac1eef44bbc5ef77e04793 | SQL: SELECT * FROM `auth_group`  [ RunTime:0.005542s ]
[ 2017-06-16T15:17:39+08:00 ] /User/index.html?username=&groupid=2&__hash__=080f7da51e4ad1d86b7cb81824a452c3_7ba63ac684ac1eef44bbc5ef77e04793 | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.005755s ]
[ 2017-06-16T15:17:39+08:00 ] /User/index.html?username=&groupid=2&__hash__=080f7da51e4ad1d86b7cb81824a452c3_7ba63ac684ac1eef44bbc5ef77e04793 | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.006993s ]
[ 2017-06-16T15:17:39+08:00 ] /User/index.html?username=&groupid=2&__hash__=080f7da51e4ad1d86b7cb81824a452c3_7ba63ac684ac1eef44bbc5ef77e04793 | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.005030s ]
[ 2017-06-16T15:17:39+08:00 ] /User/index.html?username=&groupid=2&__hash__=080f7da51e4ad1d86b7cb81824a452c3_7ba63ac684ac1eef44bbc5ef77e04793 | SQL: SELECT * FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.006595s ]
[ 2017-06-16T15:17:39+08:00 ] /User/index.html?username=&groupid=2&__hash__=080f7da51e4ad1d86b7cb81824a452c3_7ba63ac684ac1eef44bbc5ef77e04793 | SQL: SHOW COLUMNS FROM user u [ RunTime:0.005539s ]
[ 2017-06-16T15:17:39+08:00 ] /User/index.html?username=&groupid=2&__hash__=080f7da51e4ad1d86b7cb81824a452c3_7ba63ac684ac1eef44bbc5ef77e04793 | SQL: SELECT COUNT(*) AS tp_count FROM user u LEFT JOIN auth_type at on at.id=u.typeid LEFT JOIN auth_group ag on ag.id=u.groupid LEFT JOIN (select username,id as addid from user) as au on au.addid=u.adduser WHERE ( u.groupid = '2' ) LIMIT 1   [ RunTime:0.005138s ]
[ 2017-06-16T15:17:39+08:00 ] /User/index.html?username=&groupid=2&__hash__=080f7da51e4ad1d86b7cb81824a452c3_7ba63ac684ac1eef44bbc5ef77e04793 | SQL: SELECT u.id,u.username,u.names,u.mobile,u.status,u.timeadd,u.lasttime,at.title,au.username as addusername,case when u.status=0 then '已禁用' when u.status=1 then '使用中' end as statusname FROM user u LEFT JOIN auth_type at on at.id=u.typeid LEFT JOIN auth_group ag on ag.id=u.groupid LEFT JOIN (select username,id as addid from user) as au on au.addid=u.adduser WHERE ( u.groupid = '2' ) ORDER BY u.groupid,u.timeadd LIMIT 0,15   [ RunTime:0.005511s ]

[ 2017-06-16T15:18:12+08:00 ] 127.0.0.1 /User/index.html
[ 2017-06-16T15:18:12+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM `auth_group` [ RunTime:0.005743s ]
[ 2017-06-16T15:18:12+08:00 ] /User/index.html | SQL: SELECT * FROM `auth_group` WHERE status=1  [ RunTime:0.004522s ]
[ 2017-06-16T15:18:12+08:00 ] /User/index.html | SQL: SELECT * FROM `auth_group`  [ RunTime:0.004649s ]
[ 2017-06-16T15:18:12+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM `auth_rule` [ RunTime:0.005056s ]
[ 2017-06-16T15:18:12+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.004234s ]
[ 2017-06-16T15:18:12+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM auth_rule ar [ RunTime:0.004174s ]
[ 2017-06-16T15:18:12+08:00 ] /User/index.html | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.005765s ]
[ 2017-06-16T15:18:12+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.005261s ]
[ 2017-06-16T15:18:12+08:00 ] /User/index.html | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.004017s ]
[ 2017-06-16T15:18:12+08:00 ] /User/index.html | SQL: SELECT * FROM `auth_group`  [ RunTime:0.004344s ]
[ 2017-06-16T15:18:12+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM `auth` [ RunTime:0.004985s ]
[ 2017-06-16T15:18:12+08:00 ] /User/index.html | SQL: SELECT ar.*,u.username as addname FROM auth_rule ar LEFT JOIN user u on u.id=ar.adduser WHERE ar.status=1 and ar.pid != 0 ORDER BY ar.sort asc,ar.timeadd  [ RunTime:0.006439s ]
[ 2017-06-16T15:18:12+08:00 ] /User/index.html | SQL: SELECT `typeid` FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.004802s ]
[ 2017-06-16T15:18:12+08:00 ] /User/index.html | SQL: SELECT * FROM `user` WHERE id=1 LIMIT 1   [ RunTime:0.005124s ]
[ 2017-06-16T15:18:12+08:00 ] /User/index.html | SQL: SHOW COLUMNS FROM user u [ RunTime:0.004217s ]
[ 2017-06-16T15:18:12+08:00 ] /User/index.html | SQL: SELECT COUNT(*) AS tp_count FROM user u LEFT JOIN auth_type at on at.id=u.typeid LEFT JOIN auth_group ag on ag.id=u.groupid LEFT JOIN (select username,id as addid from user) as au on au.addid=u.adduser WHERE ( u.groupid = 1 ) LIMIT 1   [ RunTime:0.005007s ]
